genotype,protein,geomean_FITC,geomean_PE,conc_M
RsYN04+T498W,RaACE2.9479,8013.11377,309.45547,3.86E-10
RsYN04+T498W,RaACE2.9479,8149.9502,1575.99219,2.31E-09
RsYN04+T498W,RaACE2.9479,7640.32568,6626.15137,1.39E-08
RsYN04+T498W,RaACE2.9479,6858.34766,19121.43359,8.33E-08
RsYN04+T498W,RaACE2.9479,5134.40625,19431.54102,5.00E-07
RsYN04+T498W,RaACE2.9479,8067.146,23.44007,NA
RsYN04+T498W,RsACE2.3364,8028.67041,18.93375,0
RsYN04+T498W,RsACE2.3364,7986.58008,17.31142,4.96E-14
RsYN04+T498W,RsACE2.3364,8019.51953,17.8002,2.98E-13
RsYN04+T498W,RsACE2.3364,8116.06006,17.59549,1.79E-12
RsYN04+T498W,RsACE2.3364,8175.33203,17.99002,1.07E-11
RsYN04+T498W,RsACE2.3364,8165.25635,18.09774,6.43E-11
RsYN04+T498W,RsACE2.3364,7820.26025,18.22654,3.86E-10
RsYN04+T498W,RsACE2.3364,7936.93604,21.86406,2.31E-09
RsYN04+T498W,RsACE2.3364,8278.00293,33.27697,1.39E-08
RsYN04+T498W,RsACE2.3364,8248.63574,36.68621,8.33E-08
RsYN04+T498W,RsACE2.3364,8134.52051,40.24023,5.00E-07
RsYN04+T498W,RsACE2.3364,8412.5918,19.52706,NA
RsYN04+T498W,RsACE2.1434,8224.56543,18.28561,0
RsYN04+T498W,RsACE2.1434,8199.45801,19.44448,4.96E-14
RsYN04+T498W,RsACE2.1434,8183.51953,18.56514,2.98E-13
RsYN04+T498W,RsACE2.1434,8150.57275,19.00724,1.79E-12
RsYN04+T498W,RsACE2.1434,8044.18359,17.91035,1.07E-11
RsYN04+T498W,RsACE2.1434,7965.22852,18.26963,6.43E-11
RsYN04+T498W,RsACE2.1434,8006.0791,20.27518,3.86E-10
RsYN04+T498W,RsACE2.1434,8028.64893,27.95826,2.31E-09
RsYN04+T498W,RsACE2.1434,8009.98486,34.94239,1.39E-08
RsYN04+T498W,RsACE2.1434,8208.03125,31.86413,8.33E-08
RsYN04+T498W,RsACE2.1434,7996.51611,52.11774,5.00E-07
RsYN04+T498W,RsACE2.1434,8313.68555,18.51947,NA
